gameId,title,platform,releaseDate,coverImage
g001,Hollow Knight,Switch,2017-02-24,hollowknight.png
g002,Stardew Valley,PC,2016-02-26,stardew.png
g003,Elden Ring,PS,2022-02-25,eldenring.png
